diagnosis_DSM5,description
D5_7.01.01,Posttraumatische stressstoornis (incl. de posttraumatische-stressstoornis bij kinderen van 6 jaar en jonger)
D5_7.01.02,Posttraumatische stressstoornis (incl. de posttraumatische-stressstoornis bij kinderen van 6 jaar en jonger): met uitgestelde expressie
D5_7.02,Acute stressstoornis
D5_7.03,Aanpassingsstoornissen
D5_7.03.01,Aanpassingsstoornissen - met een sombere stemming
D5_7.03.01.01,Aanpassingsstoornissen - met een sombere stemming: acuut
D5_7.03.01.02,Aanpassingsstoornissen - met een sombere stemming: persisterend (chronisch)
D5_7.03.02,Aanpassingsstoornissen - met angst
D5_7.03.02.01,Aanpassingsstoornissen - met angst: acuut
D5_7.03.02.02,Aanpassingsstoornissen - met angst: persisterend (chronisch)
D5_7.03.03,Aanpassingsstoornissen - met gemengd angstige en sombere stemming
D5_7.03.03.01,Aanpassingsstoornissen - met gemengd angstige en sombere stemming: acuut
D5_7.03.03.02,Aanpassingsstoornissen - met gemengd angstige en sombere stemming: persisterend (chronisch)
D5_7.03.04,Aanpassingsstoornissen - met een stoornis in het gedrag
D5_7.03.04.01,Aanpassingsstoornissen - met een stoornis in het gedrag: acuut
D5_7.03.04.02,Aanpassingsstoornissen - met een stoornis in het gedrag: persisterend (chronisch)
D5_7.03.05,Aanpassingsstoornissen - met een gemengde stoornis van emoties en gedrag
D5_7.03.05.01,Aanpassingsstoornissen - met een gemengde stoornis van emoties en gedrag: acuut
D5_7.03.05.02,Aanpassingsstoornissen - met een gemengde stoornis van emoties en gedrag: persisterend (chronisch)
D5_7.03.06,Aanpassingsstoornissen - Ongespecificeerd
D5_7.03.06.01,Aanpassingsstoornissen - Ongespecificeerd: acuut
D5_7.03.06.02,Aanpassingsstoornissen - Ongespecificeerd: persisterend (chronisch)
D5_7.03.07,Andere trauma- of stressor-gerelateerde stoornissen
D5_7.03.07.01,Andere gespecificeerde trauma- of stressorgerelateerde stoornis
D5_7.03.07.02,Ongespecificeerde trauma- of stressor-gerelateerde stoornis
D5_7.03.08,Trauma- of stressor-gerelateerde stoornissen
D5_7.03.08.01,Reactieve hechtingsstoornis
D5_7.03.08.02,Ontremd sociaalcontactstoornis
D5_8,Dissociatieve stoornissen
D5_8.01,Dissociatieve identiteitsstoornis
D5_8.02,Dissociatieve amnesie
D5_8.02.01,Dissociatieve amnesie: met dissociatieve fugue
D5_8.03,Depersonalisatie- / derealisatiestoornis
D5_8.04,Andere dissociatieve stoornissen
D5_8.04.01,Andere gespecificeerde dissociatieve stoornis
D5_8.04.02,Ongespecificeerde dissociatieve stoornis
D5_9,Somatisch-symptoomstoornis en verwante stoornissen
D5_9.01,Somatisch-symptoomstoornis
D5_9.02,Ziekteangststoornis
D5_9.03,Conversiestoornis (functioneel-neurologisch-symptoomstoornis)
D5_9.03.01,Conversiestoornis (functioneel-neurologisch-symptoomstoornis): met zwakte of paralyse
D5_9.03.02,Conversiestoornis (functioneel-neurologisch-symptoomstoornis): met abnormale bewegingen
D5_9.03.03,Conversiestoornis (functioneel-neurologisch-symptoomstoornis): met sliksymptomen
D5_9.03.04,Conversiestoornis (functioneel-neurologisch-symptoomstoornis): met spraaksymptomen
D5_9.03.05,Conversiestoornis (functioneel-neurologisch-symptoomstoornis): met aanvullen of convulsies
D5_9.03.06,Conversiestoornis (functioneel-neurologisch-symptoomstoornis): met anesthesie of sensibiliteitsverlies
D5_9.03.07,Conversiestoornis (functioneel-neurologisch-symptoomstoornis): met speciale zintuigelijke symptomen
D5_9.03.08,Conversiestoornis (functioneel-neurologisch-symptoomstoornis): met gemengde symptomen
D5_9.04,Psychische factoren die somatische aandoeningen be�nvloeden
D5_9.05,Nagebootste stoornis (pathomimie)
D5_9.06,Andere somatisch-symptoomstoornis of verwante stoornissen
D5_9.06.01,Andere gespecificeerde somatisch-symptoomstoornis of verwante stoornis
D5_9.06.02,Ongespecificeerde somatisch-symptoomstoornis of verwante stoornis
